clean_file,spec_version,n_ops_original,n_ops_converted,status
S1__azure.com-addons-addons-swagger-2018-03-01-swagger.yaml,3.x,5,5,ok
S1__azure.com-adhybridhealthservice-ADHybridHealthService-2014-01-01-swagger.yaml,3.x,74,74,ok
S1__azure.com-advisor-2017-04-19-swagger.yaml,3.x,15,15,ok
S1__azure.com-alertsmanagement-SmartDetectorAlertRulesApi-2019-06-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-analysisservices-2017-08-01-swagger.yaml,3.x,16,16,ok
S1__azure.com-apimanagement-2017-03-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-apimanagement-apimapis-2019-01-01-swagger.yaml,3.x,60,60,ok
S1__azure.com-appconfiguration-2019-02-01-preview-swagger.yaml,3.x,11,11,ok
S1__azure.com-applicationinsights-QueryPackQueries_API-2019-09-01-preview-swagger.yaml,3.x,5,5,ok
S1__azure.com-applicationinsights-componentProactiveDetection_API-2018-05-01-preview-swagger.yaml,3.x,3,3,ok
S1__azure.com-applicationinsights-swagger-2018-04-20-swagger.yaml,3.x,7,7,ok
S1__azure.com-attestation-2018-09-01-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-authorization-authorization-RoleAssignmentsCalls-2018-09-01-preview-swagger.yaml,3.x,10,10,ok
S1__azure.com-automation-python2package-2018-06-30-swagger.yaml,3.x,5,5,ok
S1__azure.com-automation-softwareUpdateConfiguration-2017-05-15-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-automation-webhook-2015-10-31-swagger.yaml,3.x,6,6,ok
S1__azure.com-azsadmin-AcquiredPlan-2015-11-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-azsadmin-Activation-2016-01-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-azsadmin-Alert-2016-05-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-azsadmin-BackupLocations-2018-09-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-azsadmin-Commerce-2015-06-01-preview-swagger.yaml,3.x,3,3,ok
S1__azure.com-azsadmin-DiskMigrationJobs-2018-07-30-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-azsadmin-GalleryItem-2015-04-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-azsadmin-InfraRole-2016-05-01-swagger.yaml,3.x,3,3,ok
S1__azure.com-azsadmin-Network-2015-06-15-swagger.yaml,3.x,5,5,ok
S1__azure.com-azsadmin-Quotas-2018-02-09-swagger.yaml,3.x,4,4,ok
S1__azure.com-azsadmin-Quotas-2019-08-08-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-azsadmin-UpdateRuns-2016-05-01-swagger.yaml,3.x,5,5,ok
S1__azure.com-azure-kusto-2019-09-07-swagger.yaml,3.x,34,34,ok
S1__azure.com-azureactivedirectory-2017-04-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-azuredata-2017-03-01-preview-swagger.yaml,3.x,11,11,ok
S1__azure.com-azurestack-CustomerSubscription-2017-06-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-azurestack-Registration-2017-06-01-swagger.yaml,3.x,6,6,ok
S1__azure.com-batch-BatchManagement-2019-08-01-swagger.yaml,3.x,35,35,ok
S1__azure.com-batch-BatchService-2019-08-01.10.0-swagger.yaml,3.x,72,72,ok
S1__azure.com-batchai-BatchAI-2018-05-01-swagger.yaml,3.x,29,29,ok
S1__azure.com-billing-2017-02-27-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-billing-2019-10-01-preview-swagger.yaml,3.x,95,95,ok
S1__azure.com-blockchain-2018-06-01-preview-swagger.yaml,3.x,21,21,ok
S1__azure.com-blueprint-blueprintAssignment-2018-11-01-preview-swagger.yaml,3.x,5,5,ok
S1__azure.com-botservice-2018-07-12-swagger.yaml,3.x,27,27,ok
S1__azure.com-cdn-2019-06-15-preview-swagger.yaml,3.x,35,35,ok
S1__azure.com-cdn-cdnwebapplicationfirewall-2019-06-15-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-cognitiveservices-2017-04-18-swagger.yaml,3.x,14,14,ok
S1__azure.com-cognitiveservices-ComputerVision-1.0-swagger.yaml,3.x,9,9,ok
S1__azure.com-cognitiveservices-ContentModerator-1.0-swagger.yaml,3.x,35,35,ok
S1__azure.com-cognitiveservices-Face-1.0-swagger.yaml,3.x,63,63,ok
S1__azure.com-cognitiveservices-FormRecognizer-1.0-preview-swagger.yaml,3.x,6,6,ok
S1__azure.com-cognitiveservices-LUIS-Runtime-3.0-preview-swagger.yaml,3.x,4,4,ok
S1__azure.com-cognitiveservices-Personalizer-v1.0-swagger.yaml,3.x,3,3,ok
S1__azure.com-cognitiveservices-QnAMaker-4.0-swagger.yaml,3.x,15,15,ok
S1__azure.com-cognitiveservices-TextAnalytics-v2.1-swagger.yaml,3.x,4,4,ok
S1__azure.com-compute-2019-03-01-swagger.yaml,3.x,109,109,ok
S1__azure.com-compute-disk-2019-03-01-swagger.yaml,3.x,16,16,ok
S1__azure.com-compute-gallery-2019-07-01-swagger.yaml,3.x,21,21,ok
S1__azure.com-compute-runCommands-2019-03-01-swagger.yaml,3.x,4,4,ok
S1__azure.com-consumption-2019-06-01-swagger.yaml,3.x,25,25,ok
S1__azure.com-containerinstance-containerInstance-2018-10-01-swagger.yaml,3.x,16,16,ok
S1__azure.com-containerregistry-2019-08-15-preview-swagger.yaml,3.x,25,25,ok
S1__azure.com-containerregistry-containerregistry_build-2019-06-01-preview-swagger.yaml,3.x,13,13,ok
S1__azure.com-containerservice-managedClusters-2019-08-01-swagger.yaml,3.x,19,19,ok
S1__azure.com-cosmos-db-2019-08-01-swagger.yaml,3.x,100,100,ok
S1__azure.com-cost-management-costmanagement-2019-04-01-preview-swagger.yaml,3.x,13,13,ok
S1__azure.com-customer-insights-2017-04-26-swagger.yaml,3.x,66,66,ok
S1__azure.com-customproviders-2018-09-01-preview-swagger.yaml,3.x,11,11,ok
S1__azure.com-databox-2019-09-01-swagger.yaml,3.x,16,16,ok
S1__azure.com-databoxedge-2019-07-01-swagger.yaml,3.x,49,49,ok
S1__azure.com-databricks-2018-04-01-swagger.yaml,3.x,7,7,ok
S1__azure.com-datacatalog-2016-03-30-swagger.yaml,3.x,6,6,ok
S1__azure.com-datafactory-2018-06-01-swagger.yaml,3.x,76,76,ok
S1__azure.com-datalake-analytics-account-2016-11-01-swagger.yaml,3.x,31,31,ok
S1__azure.com-datalake-analytics-catalog-2016-11-01-swagger.yaml,3.x,45,45,ok
S1__azure.com-datalake-analytics-job-2017-09-01-preview-swagger.yaml,3.x,13,13,ok
S1__azure.com-datalake-store-account-2016-11-01-swagger.yaml,3.x,26,26,ok
S1__azure.com-datalake-store-filesystem-2016-11-01-swagger.yaml,3.x,3,3,ok
S1__azure.com-datamigration-2018-03-15-preview-swagger.yaml,3.x,26,26,ok
S1__azure.com-datashare-DataShare-2018-11-01-preview-swagger.yaml,3.x,50,50,ok
S1__azure.com-deploymentmanager-2018-09-01-preview-swagger.yaml,3.x,21,21,ok
S1__azure.com-deviceprovisioningservices-iotdps-2018-01-22-swagger.yaml,3.x,18,18,ok
S1__azure.com-devops-2019-07-01-preview-swagger.yaml,3.x,8,8,ok
S1__azure.com-devspaces-2019-04-01-swagger.yaml,3.x,9,9,ok
S1__azure.com-devtestlabs-DTL-2018-09-15-swagger.yaml,3.x,132,132,ok
S1__azure.com-dns-2018-05-01-swagger.yaml,3.x,14,14,ok
S1__azure.com-domainservices-2017-06-01-swagger.yaml,3.x,12,12,ok
S1__azure.com-engagementfabric-EngagementFabric-2018-09-01-preview-swagger.yaml,3.x,16,16,ok
S1__azure.com-eventgrid-EventGrid-2019-06-01-swagger.yaml,3.x,40,40,ok
S1__azure.com-eventhub-EventHub-2017-04-01-swagger.yaml,3.x,43,43,ok
S1__azure.com-eventhub-EventHub-preview-2018-01-01-preview-swagger.yaml,3.x,26,26,ok
S1__azure.com-frontdoor-2019-05-01-swagger.yaml,3.x,13,13,ok
S1__azure.com-frontdoor-webapplicationfirewall-2019-03-01-swagger.yaml,3.x,5,5,ok
